Symbol,Side,Type,Qty,Filled Qty,Limit Price,Stop Price,Avg Fill Price,Status,Update Time,Position ID,Commission,Closed P&L,Order ID
XAUUSD,Sell,Take Profit,0.01,0,4129.65,,,Cancelled,2026-07-08 14:11:25,,0.0,,1196718389
XAUUSD,Sell,Stop Loss,0.01,0.01,,4118.65,4118.42,Filled,2026-07-08 14:10:08,XAUUSD:1196718388,0.0,-0.72,1196718390
XAUUSD,Buy,Limit,0.01,0.01,4119.65,,4119.14,Filled,2026-07-08 14:10:08,XAUUSD:1196718388,0.0,,1196718388
XAUUSD,Sell,Take Profit,0.01,0,4129.45,,,Cancelled,2026-07-08 14:08:12,,0.0,,1196716635
XAUUSD,Sell,Stop Loss,0.01,0.01,,4119.48,4119.47,Filled,2026-07-08 14:07:41,XAUUSD:1196716226,0.0,-0.01,1196716249
XAUUSD,Buy,Limit,0.01,0.01,4119.49,,4119.48,Filled,2026-07-08 14:07:04,XAUUSD:1196716226,0.0,,1196716226
XAUUSD,Buy,Market,0.01,0.01,,,4128.64,Filled,2026-07-08 12:40:52,XAUUSD:1196674830,0.0,-1.32,1196675082
XAUUSD,Sell,Limit,0.01,0.01,4127.27,,4127.32,Filled,2026-07-08 12:40:31,XAUUSD:1196674830,0.0,,1196674830
XAUUSD,Sell,Limit,0.01,0,4127.25,,,Cancelled,2026-07-08 11:38:52,,0.0,,1196645176
XAUUSD,Sell,Take Profit,0.01,0,4128.3,,,Cancelled,2026-07-08 08:50:12,,0.0,,1196560372
XAUUSD,Buy,Limit,0.01,0,4108.3,,,Cancelled,2026-07-08 08:50:12,,0.0,,1196560371
XAUUSD,Sell,Stop Loss,0.01,0,,4107.3,,Cancelled,2026-07-08 08:50:12,,0.0,,1196560373
XAUUSD,Buy,Take Profit,0.01,0,4178.13,,,Cancelled,2026-07-08 07:55:27,,0.0,,1196519167
XAUUSD,Sell,Limit,0.01,0,4193.72,,,Cancelled,2026-07-08 07:55:27,,0.0,,1196519166
XAUUSD,Buy,Stop Loss,0.01,0,,4199.84,,Cancelled,2026-07-08 07:55:27,,0.0,,1196519168
XAUUSD,Sell,Stop Loss,0.01,0,,4137.63,,Cancelled,2026-07-08 00:43:25,,0.0,,1196265021
XAUUSD,Sell,Take Profit,0.01,0,4152.69,,,Cancelled,2026-07-08 00:43:25,,0.0,,1196268351
XAUUSD,Sell,Market,0.01,0.01,,,4147.53,Filled,2026-07-08 00:43:25,XAUUSD:1196264899,0.0,9.91,1196317620
XAUUSD,Buy,Market,0.01,0.01,,,4137.62,Filled,2026-07-07 23:01:14,XAUUSD:1196264899,0.0,,1196264899
XAUUSD,Sell,Stop Loss,0.01,0.01,,4140.58,4140.51,Filled,2026-07-07 22:54:00,XAUUSD:1196255215,0.0,-1.04,1196255324
XAUUSD,Buy,Limit,0.01,0.01,4141.49,,4141.55,Filled,2026-07-07 22:50:26,XAUUSD:1196255215,0.0,,1196255215
XAUUSD,Sell,Take Profit,0.01,0,4180.23,,,Cancelled,2026-07-07 22:47:16,,0.0,,1196248670
XAUUSD,Sell,Stop Loss,0.01,0.01,,4144.58,4144.57,Filled,2026-07-07 22:41:42,XAUUSD:1196247652,0.0,-0.01,1196247700
XAUUSD,Buy,Limit,0.01,0.01,4144.62,,4144.58,Filled,2026-07-07 22:39:46,XAUUSD:1196247652,0.0,,1196247652
XAUUSD,Buy,Limit,0.01,0,4143.22,,,Cancelled,2026-07-07 22:34:51,,0.0,,1196242740
XAUUSD,Sell,Stop Loss,0,0,,4142.19,,Cancelled,2026-07-07 22:34:51,,0.0,,1196242953
XAUUSD,Buy,Limit,0.01,0,4142.56,,,Cancelled,2026-07-07 22:27:15,,0.0,,1196234975
XAUUSD,Sell,Stop Loss,0,0,,4141.45,,Cancelled,2026-07-07 22:27:15,,0.0,,1196234999
XAUUSD,Sell,Stop Loss,0.01,0.01,,4144.25,4143.81,Filled,2026-07-07 22:26:46,XAUUSD:1196240035,0.0,-1.44,1196240129
XAUUSD,Buy,Market,0.01,0.01,,,4145.25,Filled,2026-07-07 22:26:35,XAUUSD:1196240035,0.0,,1196240035
XAUUSD,Sell,Take Profit,0.01,0,4152.78,,,Cancelled,2026-07-07 22:18:27,,0.0,,1196188565
XAUUSD,Sell,Take Profit,0.01,0,4154.75,,,Cancelled,2026-07-07 21:42:11,,0.0,,1196186950
XAUUSD,Sell,Take Profit,0.01,0,4180.34,,,Cancelled,2026-07-07 21:35:06,,0.0,,1196180268
XAUUSD,Buy,Limit,0.01,0.01,4142.78,,4142.7,Filled,2026-07-07 21:32:24,XAUUSD:1196188564,0.0,,1196188564
XAUUSD,Sell,Stop Loss,0.01,0.01,,4141.78,4141.89,Filled,2026-07-07 21:32:24,XAUUSD:1196188564,0.0,-0.81,1196188566
XAUUSD,Buy,Limit,0.01,0.01,4144.75,,4144.73,Filled,2026-07-07 21:31:07,XAUUSD:1196186949,0.0,,1196186949
XAUUSD,Sell,Stop Loss,0.01,0.01,,4143.75,4143.72,Filled,2026-07-07 21:31:07,XAUUSD:1196186949,0.0,-1.01,1196187051
XAUUSD,Buy,Limit,0.01,0.01,4151.1,,4151.13,Filled,2026-07-07 21:26:18,XAUUSD:1196180267,0.0,,1196180267
